,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Acatempa,2216,Jutiapa,19401.9506,6902.3082,13558.2713,13853.7018,14161.2874,14475.9013,14800.8976,15139.6501,15486.9947,15837.7539,16186.7049
2,Acatenango,411,Chimaltenango,21814.2935,22176.7382,22540.6225,22903.4127,23262.69,23616.1057,23964.8604,24310.0314,24649.3719,24980.7524,25302.1382
3,Agua Blanca,2204,Jutiapa,21990.1697,6889.0247,14531.4672,14611.2877,14697.4752,14784.3788,14875.2074,14972.9767,15072.2112,15167.7359,15254.6764
4,Aguacatán,1327,Huehuetenango,51686.7604,52710.4809,53739.8003,54758.6715,55751.4941,56703.0639,57623.54,58522.7404,59385.7764,60198.1063,60945.6933
5,Almolonga,913,Quetzaltenango,17186.231,17572.5375,17968.2696,18369.4763,18772.2504,19172.6305,19572.977,19975.6062,20376.5963,20772.0135,21157.9836
6,Alotenango,314,Sacatepéquez,25106.6472,26237.2288,27407.4386,28616.1805,29862.2232,31144.1232,32464.0104,33824.1346,35222.9678,36658.7787,38129.6398
7,Amatitlán,114,Guatemala,105738.237,108164.93,110556.365,112911.744,115230.339,117511.503,119753.168,121953.258,124111.265,126226.52,128298.545
8,Antigua Guatemala,301,Sacatepéquez,44786.1575,45098.0034,45393.3556,45668.8333,45921.3463,46148.0221,46351.478,46534.2218,46693.4491,46826.5898,46931.183
9,Asunción Mita,2205,Jutiapa,61372.4708,20167.8041,41028.5788,41253.3045,41496.0193,41740.7354,41996.5156,42271.8898,42551.393,42820.4085,43065.1896
10,Atescatempa,2207,Jutiapa,22565.0319,8082.7366,15481.1601,15606.4209,15739.0545,15873.0383,16011.8348,16158.7282,16307.8619,16453.6361,16590.7167
11,Ayutla,1217,San Marcos,35976.5048,36996.1522,38056.986,39145.8506,40249.3637,41353.9287,42468.4459,43601.9663,44740.7562,45870.9213,46978.3071
12,Barberena,602,Santa Rosa,44046.8413,44859.2812,45729.3899,46643.6861,47588.6937,48550.8796,49539.0154,50561.8634,51605.8995,52657.58,53703.373
13,Cabañas,1907,Zacapa,11117.2698,11168.612,11233.7001,11307.8619,11386.5968,11465.5681,11547.4463,11634.7942,11723.3737,11809.0907,11888.0265
