cfuncion,funcion
10100,"Administración Legislativa, Ejecutiva y Asuntos Exteriores"
10200,"Administración Fiscal, Monetaria y Servicios de Fiscalización"
10400,Servicios Generales
10700,Servicios Públicos Generales n.c.d
20100,Defensa Militar
20200,Defensa Civil
20300,Ayuda Militar al Exterior
20500,Defensa n.c.d
30100,Servicios de Policía y Seguridad Ciudadana
30200,Administración de Justicia
30300,Defensoría Pública Penal y de los Derechos Humanos
30400,Administración de Asuntos Penitenciarios
30500,Administración de Asuntos Migratorios
30600,Investigación y Desarrollo Relacionados con el Orden Público y Seguridad Ciudadana
30700,Orden Público y Seguridad Ciudadana  n.c.d
40100,"Servicios de Prevención y Control de Incendios, y Servicios de Rescate y Auxilio"
40200,Gestión para la Reducción de Riesgos a Desastres
40400,Atención a Desastres  y Gestión de Riesgos  n.c.d
50100,"Asuntos Económicos, Comerciales y Laborales en General"
50200,"Agricultura, Producción Pecuaria, Silvicultura, Caza y Pesca"
50300,Combustibles y Energía
50400,"Minería, Manufacturas y Construcción"
50500,Transporte
50600,Comunicaciones
50700,Otras Actividades Económicas y Financieras
50800,Investigación y Desarrollo Relacionados con Asuntos Económicos
50900,Asuntos económicos n.c.d
60100,Ordenación de Desechos
60200,Ordenación de Aguas Residuales
60300,Reducción de la Contaminación
60400,Protección de la Diversidad Biológica y del Paisaje
60600,Protección Ambiental n.c.d
70200,Desarrollo Comunitario
70300,Abastecimiento de Agua
80200,Servicios para Pacientes Externos
80300,Servicios Hospitalarios
80400,Servicios de Salud Pública
80600,Salud n.c.d
90100,Servicios Deportivos y de Recreación
90200,Servicios Culturales
90300,"Servicios de Radio, Televisión y Servicios Editoriales"
90600,"Actividades Deportivas, Recreativas, Cultura y Religión n.c.d"
100100,Educación Preprimaria y Primaria
100200,Educación Media
100400,Educación Universitaria o Superior
100500,Educación no Atribuible a Ningún Nivel Escolarizado
100600,Servicios Auxiliares de la Educación
100700,Investigación y Desarrollo Relacionados con la Educación
100800,Educación n.c.d
110100,"Enfermedad, Funcionamiento Corporal y Discapacidad"
110200,Edad  Avanzada
110400,Familia e Hijos
110600,Vivienda
110700,Otros Riesgos de Exclusión Social
110900,Protección Social n.c.d
120100,Intereses y Comisiones de la Deuda Pública
120200,Amortizaciones de la Deuda Pública
