crenglon,renglon
11,PERSONAL PERMANENTE
12,COMPLEMENTO PERSONAL AL SALARIO DEL PERSONAL PERMANENTE
13,COMPLEMENTO POR ANTIGÜEDAD AL PERSONAL PERMANENTE
14,COMPLEMENTO POR CALIDAD PROFESIONAL AL PERSONAL PERMANENTE
15,COMPLEMENTOS ESPECIFICOS AL PERSONAL PERMANENTE
17,DERECHOS ESCALAFONARIOS
18,COMPLEMENTO POR DIFERENCIAL CAMBIARIO AL PERSONAL EN EL EXTERIOR
21,PERSONAL SUPERNUMERARIO
22,PERSONAL POR CONTRATO
24,COMP. PERSONAL AL SALARIO DEL PERSONAL TEMP.
25,COMP. POR ANTIGUEDAD AL PERSONAL TEMPORAL
26,COMP. POR CALIDAD PROFESIONAL AL PERSONAL TEMP.
27,COMP. ESPECIFICOS AL PERSONAL TEMPORAL
29,OTRAS REMUNERACIONES DE PERSONAL TEMPORAL
31,JORNALES
32,COMP. POR ANTIGUEDAD AL PERSONAL POR JORNAL
33,COMP. ESPECIFICOS AL PERSONAL POR JORNAL
35,RETRIBUCIONES A DESTAJO
36,RETRIBUCIONES POR SERVICIOS
41,SERV. EXTRAORDINARIOS DE PERSONAL PERMANENTE
42,SERV. EXTRAORDINARIOS DE  PERSONAL TEMPORAL
43,SERV. EXTRAORDINARIOS DE  PERSONAL POR JORNAL
44,SERV. EXTRAORD. POR TURNOS A MEDICOS DE GUARDIA
51,APORTE PATRONAL AL IGSS
55,APORTE PARA CLASES PASIVAS
61,DIETAS
63,GASTOS DE REPRESENTACION EN EL INTERIOR
64,GASTOS DE REPRESENTACION EN EL EXTERIOR
71,AGUINALDO
72,BONIFICACION ANUAL (BONO 14)
73,BONO VACACIONAL
74,COMP. COSTO DE VIDA POR SERV. EN EL EXT.
79,OTRAS PRESTACIONES
81,"PERSONAL ADMINISTRATIVO, TÉCNICO, PROFESIONAL Y OPERATIVO"
111,ENERGIA ELECTRICA
112,AGUA
113,TELEFONIA
114,CORREOS Y TELEGRAFOS
115,EXTRACCIÓN DE BASURA Y DESTRUCCIÓN DE DESECHOS SÓLIDOS
116,SERVICIOS DE LAVANDERÍA
121,DIVULGACION E INFORMACION
122,"IMPRESION, ENCUADERNACION Y REPRODUCCION"
131,VIATICOS EN EL EXTERIOR
132,VIATICOS DE REPRESENTACION EN EL EXTERIOR
133,VIATICOS EN EL INTERIOR
134,COMPENSACION POR KILOMETRO RECORRIDO
135,OTROS VIATICOS Y GASTOS CONEXOS
141,TRANSPORTE DE PERSONAS
142,FLETES
143,ALMACENAJE
151,ARREND. DE EDIFICIOS Y LOCALES
152,ARREND. DE TIERRAS Y TERRENOS
153,ARREND. DE MAQUINAS Y EQUIPOS DE OFICINA
154,ARREND. DE MAQUINARIA Y EQUIPO DE CONSTR.
155,ARREND. DE MEDIOS DE TRANSPORTE
156,ARREND. DE OTRAS MAQUINAS Y EQUIPO
157,ARREND. DE EQUIPO DE COMPUTO
158,DERECHOS DE BIENES INTANGIBLES
161,MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO DE PRODUCCIÓN
162,MANT. Y REP. DE  EQUIPO DE OFICINA
163,"MANT. Y REP. DE EQUIPO MEDICO, SANITARIO Y DE LAB."
164,MANT. Y REP. DE EQ. EDUCACIONALES Y RECREATIVOS
165,MANT. Y REP. DE  MEDIOS DE TRANSPORTE
166,MANT. Y REP. DE EQUIPO  PARA  COMUNICACIONES
167,MANT. Y REP. DE MAQ. Y EQ. DE CONSTRUCCION
168,MANT. Y REP. DE  EQUIPO DE COMPUTO
169,MANT. Y REP. DE  OTRAS MAQUINARIAS Y EQUIPOS
171,MANT. Y REP. DE EDIFICIOS
172,MANT. Y REP. DE  VIVIENDAS
173,MANT. Y REP. DE  BIENES NAC. DE USO COMUN
