municipio,departamento
Acatempa,Jutiapa
Acatenango,Chimaltenango
Agua Blanca,Jutiapa
Aguacatán,Huehuetenango
Almolonga,Quetzaltenango
Alotenango,Sacatepéquez
Amatitlán,Guatemala
Antigua Guatemala,Sacatepéquez
Asunción Mita,Jutiapa
Atescatempa,Jutiapa
Ayutla,San Marcos
Barberena,Santa Rosa
Cabañas,Zacapa
Cabricán,Quetzaltenango
Cahabon,Alta Verapaz
Cajolá,Quetzaltenango
Camotán,Chiquimula
Canillá,Quiché
Cantel,Quetzaltenango
Casillas,Santa Rosa
Catarina,San Marcos
Chahal,Alta Verapaz
Chajul,Quiché
Champerico,Retalhuleu
Chiantla,Huehuetenango
Chicacao,Suchitepéquez
Chicamán,Quiché
Chiché,Quiché
Chichicastenango,Quiché
Chimaltenango,Chimaltenango
Chinique,Quiché
Chinuautla,Guatemala
Chiquimula,Chiquimula
Chiquimulilla,Santa Rosa
Chisec,Alta Verapaz
Chuarrancho,Guatemala
Ciudad Vieja,Sacatepéquez
Coatepeque,Quetzaltenango
Cobán,Alta Verapaz
Colomba,Quetzaltenango
Colotenango,Huehuetenango
Comalapa,Chimaltenango
Comapa,Jutiapa
Comitancillo,San Marcos
Concepción,Sololá
Concepción,Huehuetenango
Concepción Chiquirichapa,Quetzaltenango
Concepción Las Minas,Chiquimula
Concepción Tutuapa,San Marcos
Conguaco,Jutiapa
Cubulco,Baja Verapaz
Cuilapa,Santa Rosa
Cuilco,Huehuetenango
Cunén,Quiché
Cuyotenango,Suchitepéquez
Dolores,Petén
El Adelanto,Jutiapa
El Asintal,Retalhuleu
El Chal,Petén
El Chol,Baja Verapaz
El Estor,Izabal
El Jícaro,El Progreso
El Palmar,Quetzaltenango
El Progreso,Jutiapa
El Quetzal,San Marcos
El Rodeo,San Marcos
El Tejar,Chimaltenango
El Tumbador,San Marcos
Escuintla,Escuintla
Esquipulas,Chiquimula
Esquipulas Palo Gordo,San Marcos
Estanzuela,Zacapa
Flores,Petén
Flores Costa Cuca,Quetzaltenango
Fraijanes,Guatemala
Fray Bartolomé de las Casas,Alta Verapaz
Génova,Quetzaltenango
Granados,Baja Verapaz
Gualán,Zacapa
Guanagazapa,Escuintla
Guastatoya,El Progreso
Guatemala,Guatemala
Guazacapán,Santa Rosa
Huehuetenango,Huehuetenango
Huitán,Quetzaltenango
Huité,Zacapa
Ipala,Chiquimula
Ixcán,Quiché
Ixchiguán,San Marcos
Iztapa,Escuintla
Jacaltenango,Huehuetenango
Jalapa,Jalapa
Jalpatagua,Jutiapa
Jeréz,Jutiapa
Jocotán,Chiquimula
Jocotenango,Sacatepéquez
Joyabaj,Quiché
Jutiapa,Jutiapa
La Blanca,San Marcos
La Democracia,Escuintla
La Democracia,Huehuetenango
La Esperanza,Quetzaltenango
La Gomera,Escuintla
La Libertad,Huehuetenango
La Libertad,Petén
La Reforma,San Marcos
La Unión,Zacapa
Lanquín,Alta Verapaz
Las Cruces,Petén
Livingston,Izabal
Los Amates,Izabal
Magdalena Milpas Altas,Sacatepéquez
Malacatán,San Marcos
Malacatancito,Huehuetenango
Masagua,Escuintla
Mataquescuintla,Jalapa
Mazatenango,Suchitepéquez
Melchor,Petén
Mixco,Guatemala
Momostenango,Totonicapán
Monjas,Jalapa
Morales,Izabal
Morazán,El Progreso
Moyuta,Jutiapa
Nahualá,Sololá
Nebaj,Quiché
Nentón,Huehuetenango
Nueva Concepción,Escuintla
Nueva Santa Rosa,Santa Rosa
Nuevo Progreso,San Marcos
Nuevo San Carlos,Retalhuleu
Ocós,San Marcos
Olintepeque,Quetzaltenango
Olopa,Chiquimula
Oratorio,Santa Rosa
Pachalum,Quiché
Pajapita,San Marcos
Palencia,Guatemala
Palestina de los Altos,Quetzaltenango
Palín,Escuintla
Panajachel,Sololá
Panzós,Alta Verapaz
Parramos,Chimaltenango
Pasaco,Jutiapa
Pastores,Sacatepéquez
Patulul,Suchitepéquez
Patzicía,Chimaltenango
Patzité,Quiché
Patzún,Chimaltenango
Petapa,Guatemala
Petatán,Huehuetenango
Pochuta,Chimaltenango
Poptún,Petén
Pueblo Nuevo,Suchitepéquez
Pueblo Nuevo Viñas,Santa Rosa
Puerto Barrios,Izabal
Purulhá,Baja Verapaz
Quetzaltenango,Quetzaltenango
Quezada,Jutiapa
Quezaltepeque,Chiquimula
Rabinal,Baja Verapaz
Raxruhá,Alta Verapaz
Retalhuleu,Retalhuleu
Río Blanco,San Marcos
Rio Bravo,Suchitepéquez
Rio Hondo,Zacapa
Sacapulas,Quiché
Salamá,Baja Verapaz
Salcajá,Quetzaltenango
Samayac,Suchitepéquez
San Agustín Acasagustlán,El Progreso
San Andrés,Petén
San Andrés Itzapa,Chimaltenango
San Andrés Sajcabajá,Quiché
San Andres Semetabaj,Sololá
San Andrés Villa Seca,Retalhuleu
San Andrés Xecul,Totonicapán
San Antonio Aguas Calientes,Sacatepéquez
San Antonio Huista,Huehuetenango
San Antonio Ilotenango,Quiché
San Antonio la Paz,El Progreso
San Antonio Palopó,Sololá
San Antonio Sacatepéquez,San Marcos
San Antonio Suchitepéquez,Suchitepéquez
San Bartolo,Totonicapán
San Bartolomé,Sacatepéquez
San Bartolomé Jocotenango,Quiché
San Benito,Petén
San Bernardino,Suchitepéquez
San Carlos Alzatate,Jalapa
San Carlos Sija,Quetzaltenango
San Cristobal Acasaguastlán,El Progreso
San Cristóbal Cucho,San Marcos
San Cristóbal Totonicapán,Totonicapán
San Cristóbal Verapaz,Alta Verapaz
San Diego,Zacapa
San Felipe,Retalhuleu
San Francisco,Petén
San Francisco el Alto,Totonicapán
San Francisco la Unión,Quetzaltenango
San Francisco Zapotitlán,Suchitepéquez
San Gabriel,Suchitepéquez
San Gaspar Ixchil,Huehuetenango
San Idelfonso Ixtahuacán,Huehuetenango
San Jacinto,Chiquimula
San Jerónimo,Baja Verapaz
